name	address	website	summary
Zhejiang University	866 Yuhangtang Road Hangzhou, Zhejiang 310058 China	http://www.zju.edu.cn/english/	Zhejiang University is a public institution that traces its roots back to 1897. The university is located in Hangzhou, the capital of China’s Zhejiang province, about 110 miles southwest of Shanghai. More than 47,000 students attend the university, and around half of them study at the undergraduate level. Zhejiang University comprises seven campuses: the main campus, Zijingang, and the Yuquan, Xixi, Huajiachi, Zhijiang, Zhoushan and Haining campuses. Tuition costs are higher for international students and vary by subject and degree level. University housing is available for both undergraduate and graduate students. The university offers programs in a variety of disciplines, including engineering, the humanities and medicine. In all, students can choose from more than 120 undergraduate programs and well over 300 master's programs. Doctoral programs are also available. The primary language of instruction is Chinese, but Zhejiang University also offers more than a dozen master’s degree programs taught in English. The English-taught master’s offerings include programs in business, China studies and engineering. The university follows a four-term academic calendar. University resources include seven affiliated hospitals and a library that houses more than 6.83 million volumes. Among the laboratory facilities at Zhejiang University are more than a dozen national key labs that focus on different specialty areas, such as the State Key Lab of Clean Energy Utilization, the State Key Lab of Rice Biology and the State Key Lab of Modern Optical Instrumentation. Zhejiang University is a public institution that traces its roots back to 1897. The university is located in Hangzhou, the capital of China’s Zhejiang province, about 110 miles southwest of Shanghai. More than 47,000 students attend the university, and around half of them study at the undergraduate level. Zhejiang University comprises seven campuses: the main campus, Zijingang, and the Yuquan, Xixi, Huajiachi, Zhijiang, Zhoushan and Haining campuses. Tuition costs are higher for international students and vary by subject and degree level. University housing is available for both undergraduate and graduate students. The university offers programs in a variety of disciplines, including engineering, the humanities and medicine. In all, students can choose from more than 120 undergraduate programs and well over 300 master's programs. Doctoral programs are also available. The primary language of instruction is Chinese, but Zhejiang University also offers more than a dozen master’s degree programs taught in English. The English-taught master’s offerings include programs in business, China studies and engineering. The university follows a four-term academic calendar. University resources include seven affiliated hospitals and a library that houses more than 6.83 million volumes. Among the laboratory facilities at Zhejiang University are more than a dozen national key labs that focus on different specialty areas, such as the State Key Lab of Clean Energy Utilization, the State Key Lab of Rice Biology and the State Key Lab of Modern Optical Instrumentation.
Swiss Federal Institute of Technology Zurich	Rämistrasse 101 Zurich, CH-8092 Switzerland	https://www.ethz.ch/en.html	
City University Hong Kong	Tat Chee Avenue Kowloon Hong Kong	http://www.cityu.edu.hk/	
University of British Columbia	1200-1874 E. Mall Vancouver, British Columbia V6T 1Z4 Canada	http://you.ubc.ca/	The University of British Columbia is a public institution located in the Canadian province of British Columbia. The university was established in 1908 and opened in 1915. It has two main campuses – the Vancouver campus and the Okanagan campus located in Kelowna. The Vancouver campus is the larger of the two, accommodating more than 85 percent of UBC students. In a recent year, 23 percent of students at the Vancouver campus and around 13 percent at the Okanagan campus were international. Tuition costs at UBC vary by degree program and are higher for international students. University housing is guaranteed for first-year UBC undergraduates, and newly admitted international students who are second-year undergrads receive housing priority too. Housing is also available for returning undergraduate and graduate students. The Vancouver campus offers more than two dozen academic divisions, while the Okanagan campus has eight. The academic calendars for both campuses include two-term winter and summer sessions, although the summer session is optional. The primary language of instruction at UBC is English. First-year international students can opt to enroll in the Vantage One program at UBC's Vantage College, which aims to help students improve their English, in part by stretching their first year of study from eight to 11 months. Following completion, students transition into the second year of their UBC degree program. Examples of UBC research facilities include Canada’s national TRIUMF subatomic physics laboratory, the Centre for Sustainable Food Systems at UBC Farm and the Institute for Healthy Living and Chronic Disease Prevention. The University of British Columbia is a public institution located in the Canadian province of British Columbia. The university was established in 1908 and opened in 1915. It has two main campuses – the Vancouver campus and the Okanagan campus located in Kelowna. The Vancouver campus is the larger of the two, accommodating more than 85 percent of UBC students. In a recent year, 23 percent of students at the Vancouver campus and around 13 percent at the Okanagan campus were international. Tuition costs at UBC vary by degree program and are higher for international students. University housing is guaranteed for first-year UBC undergraduates, and newly admitted international students who are second-year undergrads receive housing priority too. Housing is also available for returning undergraduate and graduate students. The Vancouver campus offers more than two dozen academic divisions, while the Okanagan campus has eight. The academic calendars for both campuses include two-term winter and summer sessions, although the summer session is optional. The primary language of instruction at UBC is English. First-year international students can opt to enroll in the Vantage One program at UBC's Vantage College, which aims to help students improve their English, in part by stretching their first year of study from eight to 11 months. Following completion, students transition into the second year of their UBC degree program. Examples of UBC research facilities include Canada’s national TRIUMF subatomic physics laboratory, the Centre for Sustainable Food Systems at UBC Farm and the Institute for Healthy Living and Chronic Disease Prevention.
Princeton University	Princeton, New Jersey 08544 United States	http://www.princeton.edu	Princeton University was founded in 1746, making it one of the oldest higher education institutions in the U.S. The private university was originally called the College of New Jersey, but its name was changed to Princeton in 1896. The university is located in the town of Princeton, New Jersey, situated around 50 miles southwest of New York City. Some 8,000 students attend Princeton and nearly two-thirds of them study at the undergraduate level. Around 12 percent of undergraduates and more than 40 percent of graduate students at Princeton are international. Housing is guaranteed for undergraduate students for all four years, and nearly all undergraduates reside on campus. Princeton has six undergraduate residential colleges – communities that offer academic and social programs for students. A large number of graduate students, around 70 percent, also live in university housing. The Ivy League university is made up of an undergraduate college, a graduate school, the School of Architecture, the highly ranked School of Engineering and Applied Science and the Woodrow Wilson School of Public and International Affairs. Princeton undergrads can choose from more than 30 academic concentrations. The primary language of instruction is English, and the academic calendar is semester-based. Research at Princeton is conducted across four broad disciplines: engineering and applied sciences, humanities, natural sciences and social sciences. The university is affiliated with two national laboratories, the U.S. Department of Energy’s Princeton Plasma Physics Laboratory and the National Oceanic and Atmospheric Administration’s Geophysical Fluid Dynamics Laboratory. The latter lab specializes in climate research and modeling. Princeton University was founded in 1746, making it one of the oldest higher education institutions in the U.S. The private university was originally called the College of New Jersey, but its name was changed to Princeton in 1896. The university is located in the town of Princeton, New Jersey, situated around 50 miles southwest of New York City. Some 8,000 students attend Princeton and nearly two-thirds of them study at the undergraduate level. Around 12 percent of undergraduates and more than 40 percent of graduate students at Princeton are international. Housing is guaranteed for undergraduate students for all four years, and nearly all undergraduates reside on campus. Princeton has six undergraduate residential colleges – communities that offer academic and social programs for students. A large number of graduate students, around 70 percent, also live in university housing. The Ivy League university is made up of an undergraduate college, a graduate school, the School of Architecture, the highly ranked School of Engineering and Applied Science and the Woodrow Wilson School of Public and International Affairs. Princeton undergrads can choose from more than 30 academic concentrations. The primary language of instruction is English, and the academic calendar is semester-based. Research at Princeton is conducted across four broad disciplines: engineering and applied sciences, humanities, natural sciences and social sciences. The university is affiliated with two national laboratories, the U.S. Department of Energy’s Princeton Plasma Physics Laboratory and the National Oceanic and Atmospheric Administration’s Geophysical Fluid Dynamics Laboratory. The latter lab specializes in climate research and modeling.
Peking University	No.5 Yiheyuan Road Beijing, 100871 China	http://english.pku.edu.cn/	Peking University is a public institution that was founded in 1898, though it wasn't known by its current name until 1912. The university’s main campus, known as Yan Yuan, is located in the Haidian District in the western suburbs of Beijing, China's capital city. University housing is available for both undergraduate and graduate students. Tuition costs are higher for non-Chinese nationals and vary by subject, with science subjects costing more. The university’s academic calendar is semester-based, and students typically study four years for undergraduate degree programs, two to three years for master's programs and four years for doctoral degree programs. PKU, as the university is sometimes called, has academic departments focused on various humanities, social sciences and science disciplines. The language of instruction for undergraduates is Chinese, and graduate-level programs are taught in either Chinese or English. In 2000, Beijing Medical University was incorporated into PKU and renamed the Peking University Health Science Center, which is now the home of PKU’s medical programs, including pharmaceutics and nursing. The university has numerous research labs and centers, such as the State Key Laboratory of Nuclear Physics & Technology, the Beijing National Laboratory for Molecular Sciences and the State Key Laboratory of Rare Earth Materials Chemistry and Applications. PKU has established academic and exchange partnership programs with institutions around the world. One such collaboration is a master's program in international affairs organized jointly with the London School of Economics and Political Science in the U.K. Peking University is a public institution that was founded in 1898, though it wasn't known by its current name until 1912. The university’s main campus, known as Yan Yuan, is located in the Haidian District in the western suburbs of Beijing, China's capital city. University housing is available for both undergraduate and graduate students. Tuition costs are higher for non-Chinese nationals and vary by subject, with science subjects costing more. The university’s academic calendar is semester-based, and students typically study four years for undergraduate degree programs, two to three years for master's programs and four years for doctoral degree programs. PKU, as the university is sometimes called, has academic departments focused on various humanities, social sciences and science disciplines. The language of instruction for undergraduates is Chinese, and graduate-level programs are taught in either Chinese or English. In 2000, Beijing Medical University was incorporated into PKU and renamed the Peking University Health Science Center, which is now the home of PKU’s medical programs, including pharmaceutics and nursing. The university has numerous research labs and centers, such as the State Key Laboratory of Nuclear Physics & Technology, the Beijing National Laboratory for Molecular Sciences and the State Key Laboratory of Rare Earth Materials Chemistry and Applications. PKU has established academic and exchange partnership programs with institutions around the world. One such collaboration is a master's program in international affairs organized jointly with the London School of Economics and Political Science in the U.K.
Georgia Institute of Technology	225 North Avenue NW Atlanta, Georgia 30332 United States	http://www.gatech.edu/	
Carnegie Mellon University	5000 Forbes Avenue Pittsburgh, Pennsylvania 15213 United States	http://www.cmu.edu	
Hong Kong University of Science and Technology	Clear Water Bay Hong Kong	http://www.ust.hk/	
University of Waterloo	University Avenue W Waterloo, Ontario N2L 3G1 Canada	http://uwaterloo.ca/	The University of Waterloo is a public institution that was founded in 1957. The Canadian university's main campus is in Waterloo, Ontario, not far from several of the Great Lakes and the U.S. border. The university also has satellite campuses in nearby Cambridge, Kitchener and Stratford. More than 30,000 students attend the university. Tuition is generally higher for international students, though a handful of graduate programs charge domestic and international students the same rate. University housing is available for both undergraduate and graduate students. The university has six main academic divisions: applied health sciences, arts, engineering, environment, math and science. The main campus has four affiliated university colleges – Conrad Grebel University College, Renison University College, St. Jerome’s University and St. Paul's University College – where students can pursue a Waterloo degree in a smaller academic community. The language of instruction is English, and the university's academic calendar consists of three terms. Many of the university's students participate in a co-op program that allows them to alternate academic terms with terms spent in in the workforce. More than 120 of Waterloo's undergraduate programs offer a co-op option. The university also offers joint degree programs with global universities in several countries, including China's Tsinghua University, Taiwan's National Chiao Tung University and the U.K.'s University of Warwick. A sampling of the university's research institutions includes the Water Institute, the Waterloo Centre for Automotive Research and the Mike & Ophelia Lazaridis Quantum-Nano Centre. The University of Waterloo is a public institution that was founded in 1957. The Canadian university's main campus is in Waterloo, Ontario, not far from several of the Great Lakes and the U.S. border. The university also has satellite campuses in nearby Cambridge, Kitchener and Stratford. More than 30,000 students attend the university. Tuition is generally higher for international students, though a handful of graduate programs charge domestic and international students the same rate. University housing is available for both undergraduate and graduate students. The university has six main academic divisions: applied health sciences, arts, engineering, environment, math and science. The main campus has four affiliated university colleges – Conrad Grebel University College, Renison University College, St. Jerome’s University and St. Paul's University College – where students can pursue a Waterloo degree in a smaller academic community. The language of instruction is English, and the university's academic calendar consists of three terms. Many of the university's students participate in a co-op program that allows them to alternate academic terms with terms spent in in the workforce. More than 120 of Waterloo's undergraduate programs offer a co-op option. The university also offers joint degree programs with global universities in several countries, including China's Tsinghua University, Taiwan's National Chiao Tung University and the U.K.'s University of Warwick. A sampling of the university's research institutions includes the Water Institute, the Waterloo Centre for Automotive Research and the Mike & Ophelia Lazaridis Quantum-Nano Centre.
Harbin Institute of Technology	92 West Dazhi Street , Nan Gang District Harbin, Heilongjiang 150001 China	http://en.hit.edu.cn/	
Xidian University	2 South Taibai Road Xi'an, Shaanxi, 7100671 China	http://en.xidian.edu.cn/	
Beijing University of Posts	10 Xitucheng Rd Beijing, 100876 China	http://english.bupt.edu.cn/	
University of Southern California	University Park Los Angeles, California 90089 United States	http://www.usc.edu/	
University of Technology Sydney	15 Broadway Ultimo, New South Wales 2007 Australia	https://www.uts.edu.au/	
University of Electronic Science and Technology of China	4 Jianshe North Road 2nd Section Chengdu, Sichuan 610054 China	http://www.oice.uestc.edu.cn/en/	
Nanjing University of Information Science   Technology	No.219, Ningliu Road Nanjing, Jiangsu 210044 China	http://en.nuist.edu.cn/	
University of California  Berkeley	110 Sproul Hall Berkeley, California 94720-5800 United States	http://berkeley.edu/	The University of California—Berkeley is situated roughly 15 miles from San Francisco in what is known as the Bay Area. The public university, also commonly known as Berkeley or Cal, was founded in 1868. More than 70 percent of Berkeley students study at the undergraduate level. The university is divided into 14 colleges and schools, including the highly ranked Haas School of Business, College of Chemistry, College of Engineering, School of Public Health and School of Law. The academic calendar is semester-based and English is the language of instruction. UC—Berkeley offers students around 350 degree programs. Some of the most popular majors for Berkeley undergraduates have included electrical engineering and computer science; economics; political science; business administration; and psychology. Around a quarter of undergraduate students live on campus, including some 95 percent of freshmen. Many graduate students live off campus, but they have the option to live in university-owned accommodations. Roughly 15 percent of the student body is international, and tuition and fees are higher for out-of-state students. Around 3,000 international scholars come to Berkeley each year in temporary teaching or research positions. Berkeley research is conducted not just within academic department labs and research centers but also in some of the school’s museums and university-managed biological field stations. Research in botany, zoology, ecosystems and forestry is undertaken at the remote field station sites. Berkeley researchers discovered several of the elements on the periodic table, including californium and berkelium. The University of California—Berkeley is situated roughly 15 miles from San Francisco in what is known as the Bay Area. The public university, also commonly known as Berkeley or Cal, was founded in 1868. More than 70 percent of Berkeley students study at the undergraduate level. The university is divided into 14 colleges and schools, including the highly ranked Haas School of Business, College of Chemistry, College of Engineering, School of Public Health and School of Law. The academic calendar is semester-based and English is the language of instruction. UC—Berkeley offers students around 350 degree programs. Some of the most popular majors for Berkeley undergraduates have included electrical engineering and computer science; economics; political science; business administration; and psychology. Around a quarter of undergraduate students live on campus, including some 95 percent of freshmen. Many graduate students live off campus, but they have the option to live in university-owned accommodations. Roughly 15 percent of the student body is international, and tuition and fees are higher for out-of-state students. Around 3,000 international scholars come to Berkeley each year in temporary teaching or research positions. Berkeley research is conducted not just within academic department labs and research centers but also in some of the school’s museums and university-managed biological field stations. Research in botany, zoology, ecosystems and forestry is undertaken at the remote field station sites. Berkeley researchers discovered several of the elements on the periodic table, including californium and berkelium.
Chinese University Hong Kong	Shatin, New Territories Hong Kong	http://www.cuhk.edu.hk/english/index.html	
University of New South Wales	High St. Kensington, New South Wales 2052 Australia	http://www.unsw.edu.au/	
University of Toronto	315 Bloor Street W Toronto, Ontario M5S 2J7 Canada	http://www.utoronto.ca	The University of Toronto is a public institution that was founded in 1827. Around 80 percent of its students study at the undergraduate level. The school has three campuses – St. George, Mississauga and Scarborough – located in and around Toronto. Roughly 95 percent of the university’s graduate students study at the downtown St. George campus, as do upward of 60 percent of its undergraduates. Thousands of foreign students from more than 160 countries and regions attend the University of Toronto. In a recent year, the top countries of origin for non-Canadian students were China, India and the U.S. Tuition is higher for international students. The university comprises academic divisions focused on a range of disciplines, such as applied science and engineering, management and public health. All told, the university offers some 700 undergraduate programs and more than 200 master’s and doctoral programs. The primary language of instruction is English. The academic calendar varies between the three campuses. Student housing is available on each campus, and accommodations are guaranteed for all first-year undergraduate students. The university has more than 44 libraries that house 19 million-plus physical volumes. One major innovation that came out of the University of Toronto is insulin, which researchers discovered in the early 1920s. The university’s Banting & Best Diabetes Centre is named after two of these researchers, one of whom eventually went on to win the Nobel Prize in physiology or medicine for this work. The University of Toronto is a public institution that was founded in 1827. Around 80 percent of its students study at the undergraduate level. The school has three campuses – St. George, Mississauga and Scarborough – located in and around Toronto. Roughly 95 percent of the university’s graduate students study at the downtown St. George campus, as do upward of 60 percent of its undergraduates. Thousands of foreign students from more than 160 countries and regions attend the University of Toronto. In a recent year, the top countries of origin for non-Canadian students were China, India and the U.S. Tuition is higher for international students. The university comprises academic divisions focused on a range of disciplines, such as applied science and engineering, management and public health. All told, the university offers some 700 undergraduate programs and more than 200 master’s and doctoral programs. The primary language of instruction is English. The academic calendar varies between the three campuses. Student housing is available on each campus, and accommodations are guaranteed for all first-year undergraduate students. The university has more than 44 libraries that house 19 million-plus physical volumes. One major innovation that came out of the University of Toronto is insulin, which researchers discovered in the early 1920s. The university’s Banting & Best Diabetes Centre is named after two of these researchers, one of whom eventually went on to win the Nobel Prize in physiology or medicine for this work.
University College London	Gower Street London, WC1E 6BT United Kingdom	http://www.ucl.ac.uk/	University College London, or UCL, is a public institution that was founded in 1826. It was the third university established in England, following the University of Oxford and the University of Cambridge. UCL is based in central London, though it also has branch campuses in Qatar and Australia. Additionally, UCL has exchange and research agreements as well as other types of partnerships with universities around the world, such as the University of Montreal in Canada and Zhejiang University in China. UCL students hail from around 150 countries, and tuition costs are higher for students from outside the U.K. and European Union. University housing is guaranteed for first-year undergraduates. The UCL academic calendar has three terms, and the language of instruction is English. UCL has 11 academic divisions: arts and humanities; brain sciences; engineering; education; laws; life sciences; mathematical and physical sciences; medical sciences; population health sciences; social and historical sciences; and the Bartlett, a division focused on architecture and planning. The university is affiliated with several hospitals and medical centers, such as the University College Hospital and the Royal National Throat, Nose and Ear Hospital. Research takes place across the academic disciplines at UCL, but the main multidisciplinary research domains are neuroscience, personalized medicine, populations and lifelong health, the environment and eResearch. The university has been associated with research accomplishments throughout its history. One example is that a UCL professor won the Nobel Prize in chemistry in 1904 for his discovery of noble gases, including neon gas. University College London, or UCL, is a public institution that was founded in 1826. It was the third university established in England, following the University of Oxford and the University of Cambridge. UCL is based in central London, though it also has branch campuses in Qatar and Australia. Additionally, UCL has exchange and research agreements as well as other types of partnerships with universities around the world, such as the University of Montreal in Canada and Zhejiang University in China. UCL students hail from around 150 countries, and tuition costs are higher for students from outside the U.K. and European Union. University housing is guaranteed for first-year undergraduates. The UCL academic calendar has three terms, and the language of instruction is English. UCL has 11 academic divisions: arts and humanities; brain sciences; engineering; education; laws; life sciences; mathematical and physical sciences; medical sciences; population health sciences; social and historical sciences; and the Bartlett, a division focused on architecture and planning. The university is affiliated with several hospitals and medical centers, such as the University College Hospital and the Royal National Throat, Nose and Ear Hospital. Research takes place across the academic disciplines at UCL, but the main multidisciplinary research domains are neuroscience, personalized medicine, populations and lifelong health, the environment and eResearch. The university has been associated with research accomplishments throughout its history. One example is that a UCL professor won the Nobel Prize in chemistry in 1904 for his discovery of noble gases, including neon gas.
Aalto University	Otakaari 1 B Esbo, 02150 Finland	http://www.aalto.fi/en/	
University of Science and Technology of China	No. 96 Jinzhai Road Hefei, Anhui 230026 China	http://en.ustc.edu.cn/	The University of Science and Technology of China is a public university that the Chinese Academy of Sciences founded in 1958. USTC, as the university is sometimes called, is situated in Hefei, the capital of China’s Anhui province, and has five campuses within the city located relatively close to each other. Around 1.5 percent of the student body hails from abroad. Many of the university's international students receive financial support from one of three sources: the USTC Scholarship, the Chinese Government Scholarship or a fellowship that the Chinese Academy of Sciences and the World Academy of Sciences offers. All three types of aid cover tuition and provide a stipend for other education-related costs. University housing is available for both undergraduate and graduate students. USTC has more than a dozen schools, many of which are devoted to the sciences, but the university also has academic divisions focused on subjects such as public affairs and business. Additionally, the USTC School of the Gifted Young offers instruction for advanced students. The university follows a semester-based academic calendar. The primary language of instruction is Chinese, though some master’s and most doctoral programs are also offered in English. More than 70 percent of undergraduate students participate in USTC’s Research Program for Undergraduates, which takes place at university labs and Chinese Academy of Sciences research institutes. Among the research labs that USTC operates are the National Synchrotron Radiation Laboratory, the Hefei National Laboratory for Physical Sciences at the Microscale and the State Key Laboratory of Fire Science. The University of Science and Technology of China is a public university that the Chinese Academy of Sciences founded in 1958. USTC, as the university is sometimes called, is situated in Hefei, the capital of China’s Anhui province, and has five campuses within the city located relatively close to each other. Around 1.5 percent of the student body hails from abroad. Many of the university's international students receive financial support from one of three sources: the USTC Scholarship, the Chinese Government Scholarship or a fellowship that the Chinese Academy of Sciences and the World Academy of Sciences offers. All three types of aid cover tuition and provide a stipend for other education-related costs. University housing is available for both undergraduate and graduate students. USTC has more than a dozen schools, many of which are devoted to the sciences, but the university also has academic divisions focused on subjects such as public affairs and business. Additionally, the USTC School of the Gifted Young offers instruction for advanced students. The university follows a semester-based academic calendar. The primary language of instruction is Chinese, though some master’s and most doctoral programs are also offered in English. More than 70 percent of undergraduate students participate in USTC’s Research Program for Undergraduates, which takes place at university labs and Chinese Academy of Sciences research institutes. Among the research labs that USTC operates are the National Synchrotron Radiation Laboratory, the Hefei National Laboratory for Physical Sciences at the Microscale and the State Key Laboratory of Fire Science.
University of Adelaide	North Terrace Adelaide, South Australia 5005 Australia	http://www.adelaide.edu.au/	
